web-scraper-order,web-scraper-start-url,pagination,pagination-href,Text_select,Titulo ,Nota_element
"1561503703-845","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","273","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1360-Air-France","A companhia é boa, voo saiu no horário, porém o atendimento de bordo tende a deseja, diriam que em viagens longas deveriam servir mais refeições, não sei se é normal, você almoça e se sentir fome ter que ir no final do avião para pedir algo. Na ida fui KLM e amei!!","Bom mais podia ser melhor...","<span class=""ui_bubble_rating bubble_40""></span>"
"1561503828-1040","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","214","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1065-Air-France","A companhia é horrivel. São mal educados, não tem ninguém com boa vontade de ajudar no check-in em Paris. Tudo na máquina. Em São Paulo compramos o ""espaço conforto"" achando que eram as poltronas com maior espaço. Ao embarcar vieram com um ""blablabla"" que não era isso. Perguntei qual a vantagem naquele acento e foi informado que eu teria ""prioridade de serviço e de desembarque"" o que além de NÃO ACONTECER não foi o que adquiri. No balcão em SP fui clara para o atendente que era um espaço para PERNAS maior que desejávamos. Ele não entendeu ou nos ludibriou?? Ainda não sei. PEdi reembolso para a companhia e não fui atendida. Não viajo mais com eles.","voo para Paris","<span class=""ui_bubble_rating bubble_20""></span>"
"1561503811-1018","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","222","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1105-Air-France","Já viaje outras vezes pela Air France e a considero uma das melhores companhias aéreas. O serviço da primeira classe, que utilizei em uma viagem anterior a Paris, é inigualável.
Mas a classe executiva tb é refinada e o atendimento gentil e cuidadoso.
Os aviões sempre muito modernos e confortáveis.
Uma das minhas companhias preferidas.","Perfeita","<span class=""ui_bubble_rating bubble_50""></span>"
"1561503803-1001","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","226","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or1125-Air-France","Um bom voo, tranquilo, pouco tempo, serviço a bordo simples mas de bom gosto, bebida razoável. Sem problemas.","Bom voo de curta duração.","<span class=""ui_bubble_rating bubble_40""></span>"
"1561503886-1138","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","186","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or925-Air-France","Uma boa opção de voo. Equipe atenciosa, espaço razoável, refeições também razoáveis. Recomendaria, especialmente a classe Economy premium.","Boa opção de voo","<span class=""ui_bubble_rating bubble_40""></span>"
"1561504112-1491","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","79","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or390-Air-France","Voo tranquilo. Pontualidade ótima. Aeronave nova. Empresa que preza pela manutenção de suas aeronaves. Os preços poderiam ser um pouco menores.","punctual and organized","<span class=""ui_bubble_rating bubble_50""></span>"
"1561504289-1770","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","29","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or140-Air-France","alguns voos da Air France, oferecem 4 categorias,  First Class, Executive, Premium e a econômica. A diferença de preços é muito grande, numa escala de 0 a 20, seria algo em torno 20 pra primeira classe, 10 pra executiva, 5 pra Premium e 1 pra econômica. em um voo de 11 horas viajar de econômica não é muito confortável, então a dica é se programar com uma grande antecedência pode-se pager bem menos na Premium, ou até usar milhas  na executiva!","da econômica pra Premium","<span class=""ui_bubble_rating bubble_30""></span>"
"1561503677-814","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","","","O voo em si foi ótimo, decolou no horário, sem problemas! Ficamos decepcionados com os assentos da Premium Economy, o espaço para as pernas é bom mas o encosto não reclina nada, o assento é que “escorrega” para frente! Achamos o encosto muito incômodo, ou seja, na nossa opinião não valeu a pena pagar mais pela cadeira Premium Economy. 
Em termos de conforto, é quase a mesma coisa da primeira fila da Classe Econômica .","Desapontada","<span class=""ui_bubble_rating bubble_30""></span>"
"1561504473-2054","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","200","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or995-Air-France","As poltronas da classe executiva poderiam ser mais confortáveis. Já que não deitam totalmente o passageiros fica em uma posição que as pernas estão mais baixas que o tronco e a cabeça. Na realidade não deitam e sim reclinam. No embarque o atendimento é muito bom, mas no desembarque é quase ""se vira"".","Poderia ser mais confortável","<span class=""ui_bubble_rating bubble_30""></span>"
"1561504184-1612","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-Air-France#REVIEWS","43","https://www.tripadvisor.com.br/Airline_Review-d8729003-Reviews-or210-Air-France","...já no início,quando fomos para Paris veio uma senhora se dizendo desta companhia perguntando se não queríamos ir num outro voo que pagariam hotel,alimentação etc...achamos estranho e nem demos atenção! Faltando poucos dias para voltarmos,minha esposa recebeu um comunicado da parceira da AIR FRANCE,a KLM,informando que nossas reservas não estavam confirmadas,fomos até a agencia da companhia em Paris,perdemos praticamente a manhã de passeio,para nos informar que estava tudo certo,aproveitei e paguei  pelas poltronas de nossa preferência,como já não bastasse,quando embarcamos tinham dois senhores sentados em nossas poltronas,tentei falar em ingles com a aeromoça mas nem aí,para não criar um ""barraco""no avião deixamos como estava,depois um desses senhores me disse que tinha problemas de saúde etc...não dormi nada foram mais de 11 horas de desconforto.Vou continuar viajando para a França, mas por outras companhias.","Pior companhia que já viajei até hoje","<span class=""ui_bubble_rating bubble_10""></span>"
